"course","word","n"
116,"bias",1
116,"confidence interval",2
116,"hypothesis",2
116,"metadata",1
116,"replication",1
116,"reproducibility",3
116,"study design",1
116,"study power",1
125,"replication",2
125,"reproducibility",1
202,"anova",1
202,"biology data presentation guidelines",1
202,"confidence interval",1
202,"correlation",1
202,"data visualization",1
202,"descriptive statistics",1
202,"interpreting results",1
202,"log transformation",1
202,"markdown",1
202,"regression",1
202,"rlanguage",1
202,"tidy data",1
202,"ttest",1
205,"confidence interval",1
205,"critical analysis",1
205,"data visualization",1
205,"descriptive statistics",1
205,"equity",1
205,"hypothesis",1
205,"hypothesis testing",1
205,"interpreting results",1
205,"replicability",1
205,"replication",4
205,"reproducibility",3
205,"research transparency",2
205,"scientific method",1
205,"statistical analysis",1
205,"statistical significance",1
205,"study design",1
205,"study power",3
307,"reproducibility",1
307,"research transparency",1
309,"correlation",1
309,"log transformation",1
309,"statistical analysis",2
