"course","word","n"
116,"apriori hypothesis",4
116,"biology data presentation guidelines",6
116,"critical analysis",2
116,"file and data management",1
116,"harking",2
116,"hypothesis testing",1
116,"literature review",1
116,"open notebooks",1
116,"open science",7
116,"peer review",3
116,"random assignment",1
116,"replicability",1
116,"replication",3
116,"reproducibility",8
116,"research transparency",1
116,"revising the research lifecycle",2
116,"rlanguage",8
116,"statistical analysis",1
116,"study power",1
116,"version control",2
125,"apriori hypothesis",1
125,"bias",1
125,"biology data presentation guidelines",27
125,"burden of proof",1
125,"critical analysis",1
125,"file and data management",1
125,"harking",1
125,"hypothesis testing",1
125,"open notebooks",23
125,"peer review",3
125,"reproducibility",1
125,"research transparency",8
125,"revising the research lifecycle",2
125,"rlanguage",5
125,"statistical analysis",2
205,"access to science",1
205,"biology data presentation guidelines",2
205,"critical analysis",2
205,"equity",1
205,"file and data management",6
205,"harking",1
205,"open notebooks",7
205,"peer review",1
205,"revising the research lifecycle",2
205,"rlanguage",1
205,"statistical analysis",1
205,"version control",7
307,"rlanguage",1
309,"critical analysis",4
309,"file and data management",4
309,"harking",1
309,"markdown",2
309,"open science",1
309,"reproducibility",5
309,"research transparency",4
309,"rlanguage",3
309,"version control",4
