"course","word","n"
116,"a_piori_hypothesis",1
116,"a_priori_hypothesis",3
116,"bias",1
116,"biology_data_presentation_guidelines",6
116,"confidence_interval",1
116,"critical_analysis",2
116,"data_visualization",7
116,"descriptive_statistics",1
116,"figure",2
116,"file_and_data_management",1
116,"harking",2
116,"hypothesis",2
116,"hypothesis_testing",1
116,"interpreting_results",1
116,"literature_review",1
116,"metadata",1
116,"open_notebooks",1
116,"open_science",5
116,"peer_review",2
116,"potential",34
116,"r",8
116,"random_assignment",1
116,"replicability",1
116,"replication",4
116,"reproducibility",13
116,"research_transparency",1
116,"revising_the_research_lifecycle",1
116,"statistical_analysis",1
116,"study_design",2
116,"study_power",2
116,"version_control",2
125,"a_priori_hypothesis",1
125,"bias",1
125,"biology_data_presentation_guidelines",27
125,"burden_of_proof",1
125,"confirmatory_research",1
125,"critical_analysis",1
125,"data_visualization",2
125,"descriptive_statistics",1
125,"file_and_data_management",1
125,"harking",1
125,"hypothesis_testing",1
125,"literature_review",1
125,"open_notebooks",23
125,"peer_review",3
125,"potential",51
125,"r",5
125,"replication",3
125,"reproducibility",2
125,"research_transparency",8
125,"revising_the_research_lifecycle",2
125,"scientific_method",1
125,"statistical_analysis",2
125,"study_design",2
202,"anova",1
202,"biology_data_presentation_guidelines",1
202,"confidence_interval",1
202,"correlation",1
202,"data_visualization",1
202,"descriptive_statistics",1
202,"interpreting_results",1
202,"log_transformation",1
202,"markdown",1
202,"r",1
202,"regression",1
202,"t_test",1
202,"tidy_data",1
205,"a_priori_hypothesis",1
205,"access_to_science",1
205,"biology_data_presentation_guidelines",2
205,"confidence_interval",1
205,"confirmatory_research",1
205,"critical_analysis",3
205,"data_visualization",2
205,"descriptive_statistics",1
205,"equity",2
205,"file_and_data_management",6
205,"harking",1
205,"hypothesis",2
205,"hypothesis_testing",2
205,"interpreting_results",1
205,"literature_review",1
205,"open_notebooks",7
205,"peer_review",2
205,"potential",15
205,"r",2
205,"replicability",1
205,"replication",4
205,"reproducibility",4
205,"research_transparency",4
205,"revising_the_research_lifecycle",2
205,"scientific_method",3
205,"statistical_analysis",4
205,"statistical_significance",1
205,"study_design",3
205,"study_power",3
205,"tbm",2
205,"version_control",7
309,"a_priori_hypothesis",1
309,"anova",5
309,"biology_data_presentation_guidelines",11
309,"confirmatory_research",1
309,"correlation",1
309,"critical_analysis",4
309,"data_visualization",3
309,"descriptive_statistics",6
309,"e",1
309,"exploratory_research",1
309,"file_and_data_management",5
309,"harking",1
309,"hypothesis_testing",1
309,"literature_review",4
309,"log_transformation",2
309,"markdown",6
309,"open_science",1
309,"potental",4
309,"potential",11
309,"r",12
309,"regression",1
309,"replication",1
309,"reproducibility",20
309,"research_transparency",19
309,"scientific_method",1
309,"statistical_analysis",15
309,"t_test",2
309,"tidy_data",1
309,"version_control",4
